Variable,LSTM_MSE,LSTM_MAE,RF_MSE,RF_MAE
use_Beatdown,4.9658212869690284e-05,0.004093841331345696,5.517438571428562e-05,0.004535714285714282
win_Beatdown,0.0005386204541761609,0.0209329478811023,0.0003030296389473517,0.013979295700649621
use_Cycle/Control Rápido,0.00020224937075462524,0.012360527958188736,0.00017048151785714253,0.011390714285714285
win_Cycle/Control Rápido,8.798624684904103e-05,0.008556458116000856,6.84832483799175e-05,0.00737832576360948
use_Asedio (Siege),8.501094203750612e-06,0.0024726426047938224,6.948407142857152e-06,0.002261428571428574
win_Asedio (Siege),0.0038711278967745156,0.054230595118140455,0.004535439099238596,0.05355467916806207
use_Bridge Spam,2.623798499184311e-05,0.004005866570132119,3.746333571428579e-05,0.005642857142857146
win_Bridge Spam,0.0009489710607454606,0.028283672790504106,0.0009987719494537605,0.029048303903965567
use_Control Lento,3.8880799374207046e-05,0.005235211832182749,2.5526574999999928e-05,0.0041964285714285645
win_Control Lento,0.006230177809360628,0.057297580173026726,0.0051067638347796,0.05794023265201486
use_Otros/Híbridos,0.0001855045687362604,0.01183112861428943,0.00013288707857142876,0.009785714285714299
win_Otros/Híbridos,0.00026342984766705436,0.013417777738869572,0.00024390307955867645,0.013737099245713083
